date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-01 10:15:38,elietuseku,EbolaKoma,0,1,2,"Effectivement l année de l Action decretée par le chef de l etat. N epargnera pas Ebola. Merci #Fatshi_capitaine du peuple Congolais et l experimenter @MTamfum Dr. Muyembe",,@MTamfum,#Fatshi_capitaine,1212316442584068101,https://twitter.com/elietuseku/status/1212316442584068101
2020-01-01 10:15:26,koleosoibukun,,1,0,0,"That’s how one pastor too said Ebola was a response from God to man’s sins",,,,1212316391065477120,https://twitter.com/koleosoibukun/status/1212316391065477120
2020-01-01 10:15:16,henggee77,,0,0,0,"An Ebola patient treated in the U.S. chose to remain anonymous. Now he’s telling his story. ",,,,1212316350594482176,https://twitter.com/henggee77/status/1212316350594482176
2020-01-01 10:13:29,elietuseku,DieuWedi1,0,1,1,"Effectively cher @DieuWedi1 l année de l Action decreter par le chef de l etat. N epargnera pas Ebola. Merci #Fatshi_capitaine du peuple Congolais à l experimenter @MTamfum Dr. Muyembe",,@DieuWedi1 @MTamfum,#Fatshi_capitaine,1212315902416474112,https://twitter.com/elietuseku/status/1212315902416474112
2020-01-01 10:13:09,TomthunkitsMind,,0,1,2,"The world’ first Ebola vaccine has been approved by the World Health Organization ",,,,1212315820401012737,https://twitter.com/TomthunkitsMind/status/1212315820401012737
2020-01-01 10:12:00,MichaelMaley7,AusIndiMedia,0,0,2,"It's a bit unfair to comment too harshly on Mr Morrison's ""empathy consultant"", whose job with this government must feel a bit like that of a doctor confronted with an Ebola outbreak.",,,,1212315527307096069,https://twitter.com/MichaelMaley7/status/1212315527307096069
2020-01-01 10:10:01,iDGiam,ItsBouquet,1,0,9,"Morrison is the Ebola of the human race",,,,1212315030420512768,https://twitter.com/iDGiam/status/1212315030420512768
2020-01-01 10:06:42,jeunespatriote3,,0,0,0,"En 2019, le congolais qui m'a éblouie par son excellence est le docteur @MTamfum pour avoir trouvé la solution au problème Ebola. Voilà un exemple pour la jeunesse. Vive 2020",,@MTamfum,,1212314193405329408,https://twitter.com/jeunespatriote3/status/1212314193405329408
2020-01-01 10:04:48,DieuWedi1,EbolaKoma,3,6,16,"#RDC. Ebola sera bientot ds le passe. Merci @fatshi13 et au Dr. #Muyembe.",,@fatshi13,#RDC #Muyembe,1212313718224248832,https://twitter.com/DieuWedi1/status/1212313718224248832
2020-01-01 10:03:19,Amazng_Authors,,0,0,0,"RT@Amazng99 I wish people were as concerned about cardiovascular disease as Ebola. - Jay Cohn MD http://smarturl.it/SAVtg #health ^&amp;",,@amazng99,#health,1212313343475798016,https://twitter.com/Amazng_Authors/status/1212313343475798016
2020-01-01 10:01:22,Charliedemetro_,,0,0,0,"Ok yeah to everyone that wished me happy New Years same to yous I'm sorry I feel like I have ebola rn I'll wish everyone happy New Years tomorrow I love yous",,,,1212312853316718592,https://twitter.com/Charliedemetro_/status/1212312853316718592
2020-01-01 09:57:32,baranbedirr,,0,0,0,"The Story of Ebola https://youtu.be/XCrOde-JYs0 @YouTube aracılığıyla",,@YouTube,,1212311888052264960,https://twitter.com/baranbedirr/status/1212311888052264960
2020-01-01 09:54:59,angelicaserperi,,0,0,16,"the 2010s off the top of my head: 2010: justin bieber 2011: 1d 2012: end of the world, gangnam style 2013: miley cyrus doing the most 2014: ebola, vine, trumpets by jason derulo 2015: hello 2016: clowns, phhhoto, juju, mannequin challenge 2017: ? 2018: tide pods 2019: tiktok",,,,1212311245103091712,https://twitter.com/angelicaserperi/status/1212311245103091712
2020-01-01 09:48:31,Julius_R_Ebola,ArsonAbout,0,0,1,"I think he just doesn't like forceful people",,,,1212309619395219456,https://twitter.com/Julius_R_Ebola/status/1212309619395219456
2020-01-01 09:42:37,54321kkd,DosDonald2,1,0,2,"petit haineux lamukiste qui te dit que tu as vote Felix? ns sommes vaccines de ce genre de virus du type Ebola depuis la coordination de prof MuyembeTamfum, sorcier fifion !",,,,1212308132925341697,https://twitter.com/54321kkd/status/1212308132925341697
2020-01-01 09:41:42,fishfetish5,,0,0,0,"Ebola researchersfight",,,,1212307905107632128,https://twitter.com/fishfetish5/status/1212307905107632128
2020-01-01 09:40:31,jakz__v4,,0,1,3,"I’m lethal at bowling. Call me Ebola",,,,1212307604556460038,https://twitter.com/jakz__v4/status/1212307604556460038
